,,MESURES DE CENTRALITÉ,,,,,,,,,,,,
Razet,L.,8,144,54,193,106,97,0.488,105,692.1,251,0.128,169,
Traidos,,8,145,10,978,16,795,0.43,769,285,367,0.028,1452,
Anzilotti,Dionisio,7,146,28,430,31,432,0.46,382,6549.4,67,0.075,341,
Aschmann,,7,147,18,669,26,535,0.465,310,448.9,304,0.05,559,
Bieler,J. H.,7,148,35,358,41,324,0.471,253,2725.2,121,0.062,440,
Briand,Aristide,7,149,37,342,49,264,0.481,150,1075.6,212,0.1,237,
Campe,Miguel Angel,7,150,7,1133,15,800,0.457,427,1.4,676,0.029,1414,
Carton de Wiart,Henry,7,151,13,825,28,477,0.397,1926,18.2,601,0.021,1564,
Cosentini,F.,7,152,6,1241,9,1026,0.407,1654,104.9,476,0.018,1636,
Felsberg,E.,7,153,29,420,39,384,0.423,869,1355.3,183,0.032,1361,
Freytag,,7,154,36,350,46,283,0.469,276,1471,176,0.086,302,
Guani,Alberto,7,155,51,201,73,161,0.485,122,6950,64,0.119,186,
Henriod,Henri-Louis,7,156,31,389,41,333,0.48,159,5434.9,81,0.092,277,
Jouvenel,Henry de,7,157,33,370,49,266,0.47,265,344.7,339,0.101,234,
Makay,P. J. de,7,158,30,413,41,336,0.465,315,672.2,254,0.057,491,
Motta,Giuseppe,7,159,11,914,19,708,0.432,753,70.9,500,0.033,1351,
Puscariu,Sextil,7,160,85,84,97,106,0.485,124,6393.3,70,0.114,201,
Vandervelde,E.,7,161,16,755,24,583,0.426,849,86.3,486,0.03,1410,
Vilallonga,Jose de,7,162,36,356,44,308,0.491,91,1587.3,169,0.094,265,
Vulic,N.,7,163,91,72,115,86,0.495,76,2328.4,134,0.209,55,
Weingartner,Felix,7,164,25,518,48,274,0.47,270,164.7,439,0.093,273,
Albat,G.,6,165,5,1331,10,970,0.419,935,123.2,457,0.017,1681,
Bartlett,Vernon,6,166,58,178,71,162,0.492,84,2265.8,138,0.132,161,
Blinishti,Benoit,6,167,23,531,29,465,0.44,655,100.9,479,0.058,471,
Bonnet,Henri,6,168,45,233,49,263,0.482,142,1535.3,173,0.104,220,
Borel,Emile,6,169,40,293,58,223,0.479,162,522.8,282,0.132,162,
Brunet,J.,6,170,24,521,33,417,0.472,236,385.1,324,0.053,533,
Calkins,Gary N.,6,171,45,235,78,145,0.464,322,750.6,243,0.112,202,
Carrington Lancaster,H.,6,172,48,220,59,219,0.483,136,950.4,223,0.115,199,
Catastini,Vito,6,173,18,671,22,600,0.434,702,3022.7,112,0.032,1359,
Cornelissen,Fred,6,174,56,184,63,205,0.475,203,642.5,259,0.117,193,
Cowley,A.,6,175,85,81,112,89,0.476,189,2231.4,141,0.147,140,
Dorp,Elisabeth Van,6,176,103,64,127,75,0.502,52,3166.3,109,0.209,52,
Doude Van Troostwijk,W.,6,177,10,952,14,833,0.422,875,5.4,640,0.026,1463,
Grosz,Emile de,6,178,85,83,104,98,0.491,89,1328.3,185,0.155,105,
Hudson,Manley O.,6,179,15,778,15,813,0.431,756,1389.8,178,0.033,1348,
Kiritzesco,Const.,6,180,37,344,66,199,0.479,168,1011.7,219,0.103,229,
Knibbs,George H.,6,181,29,422,34,409,0.476,193,1034.4,215,0.063,428,
Knoph,Ragnar,6,182,44,248,62,209,0.486,115,705.3,248,0.133,158,
Kotschnig ,Walter M.,6,183,20,629,32,426,0.465,314,356.4,335,0.042,717,
Krabbe,,6,184,29,423,34,410,0.475,209,9059,53,0.07,387,
Langevin,P.,6,185,59,176,82,136,0.486,116,1251.2,194,0.138,150,
Loveday,A.,6,186,96,66,101,103,0.495,75,3193,108,0.205,57,
Morpurgo,F. A. de,6,187,32,378,42,317,0.47,266,340.7,342,0.081,321,
Oldenburg,M. A.,6,188,4,1988,11,951,0.393,1999,0,2142,0.014,1816,
Plaisant,Marcel,6,189,21,607,33,421,0.469,280,177.4,425,0.08,325,
Pollard,A.F.C.,6,190,22,562,26,556,0.433,739,10135.5,47,0.037,1301,
Roubakine,N.,6,191,33,375,36,403,0.467,298,1214.1,198,0.062,448,
Schuster,Sir Arthur,6,192,11,928,18,734,0.437,684,92.9,482,0.034,1341,
Waldkirch,E. de,6,193,17,717,25,573,0.458,418,417.6,310,0.068,406,
Wigmore,J. H.,6,194,35,365,48,275,0.481,155,540.1,276,0.095,263,
Willems,Edouard,6,195,38,340,58,226,0.47,271,573.3,271,0.117,195,
Arrieta Rossi,Reyes,5,196,11,888,16,758,0.463,340,409,315,0.035,1323,
Beltette,A.,5,197,22,547,31,433,0.432,749,435.1,307,0.044,641,
Blondeel,Frederic,5,198,24,520,27,507,0.433,726,3220.8,106,0.067,407,
Capart,Jean,5,199,50,206,68,197,0.472,238,1142.2,205,0.099,241,
Chapin,J. Stuart ,5,200,27,458,33,418,0.465,311,275,372,0.087,299,
Colasanti,Arduino,5,201,40,299,61,213,0.487,107,793.5,235,0.075,345,
Collins,William,5,202,11,898,17,741,0.403,1706,45.3,534,0.022,1549,
Corbett Ashby,Margery,5,203,28,435,36,400,0.415,1026,789.9,236,0.033,1346,
Dalrymple,I.M.,5,204,18,672,30,457,0.423,867,141.7,448,0.035,1325,
Delevingne,Malcolm,5,205,36,349,41,328,0.406,1666,1033.5,216,0.031,1377,
Dolleans,Edouard,5,206,50,208,56,232,0.485,121,1925.2,150,0.112,203,
Duyvis,F. Donker,5,207,48,221,53,244,0.437,680,532.1,279,0.058,473,
Etienne,Lucien Henri,5,208,3,2067,9,1030,0.376,2178,8.3,622,0.006,2323,
Ferber,,5,209,19,647,34,408,0.419,946,42.7,541,0.034,1335,
Ferriere,Adolphe,5,210,11,900,13,866,0.421,895,490.5,294,0.026,1464,
Goet,Jean,5,211,5,1525,12,898,0.399,1837,74.4,497,0.015,1759,
Gourd,Emilie,5,212,31,386,39,385,0.443,612,1276.8,190,0.047,591,
Kaeckenbeeck,,5,213,8,1065,12,902,0.402,1731,2.9,655,0.02,1593,
Lloyd,[Edward Mayow Hastings],5,214,4,1968,8,1104,0.371,2286,1.7,674,0.006,2356,
Lowes-Dickinson,G.,5,215,30,412,41,335,0.443,613,562.1,272,0.072,368,
MacDonnell,S.,5,216,22,557,28,487,0.44,660,778.1,238,0.04,1284,
Mensdorff-Pouilly-Dietrichstein,Albert,5,217,53,195,59,220,0.468,289,2650.1,126,0.106,217,
Mistral,Gabriela,5,218,70,140,84,127,0.459,398,931.7,225,0.129,167,
Montenach,Jean-Daniel de,5,219,19,657,23,592,0.442,620,546.5,274,0.045,627,
Mussolini,Benito,5,220,8,1081,11,948,0.426,836,0.3,690,0.028,1443,
Nixon ,J.H.,5,221,12,875,19,710,0.4,1791,10.9,619,0.021,1572,
Ogburn,William F.,5,222,36,353,51,254,0.473,229,590.7,267,0.097,253,
Pajia,,5,223,16,746,21,655,0.474,216,51.4,526,0.054,527,
Petit Dutaillis,,5,224,55,191,63,206,0.483,137,111.9,468,0.134,155,
Puksov,,5,225,79,97,83,135,0.452,506,3626.8,101,0.095,261,
Rist,Charles,5,226,43,254,54,242,0.482,147,472.8,300,0.104,224,
Simiand,François,5,227,26,502,34,413,0.469,282,187.8,418,0.064,425,
Strohl,J.,5,228,43,255,57,231,0.476,198,1668.9,165,0.108,211,
Sugimura,Y.,5,229,37,346,42,319,0.48,161,1651,166,0.103,230,
Tcheou-Wei,S.,5,230,13,849,15,824,0.466,309,319,351,0.036,1322,
Thomas,Augustus O.,5,231,15,795,17,755,0.464,336,1257.4,192,0.043,691,
Toesca,Pietro,5,232,37,347,61,215,0.467,301,240.1,400,0.098,248,
Valery,Paul,5,233,19,664,40,378,0.46,390,46.8,532,0.059,468,
Weiss,Raymond,5,234,86,80,102,102,0.481,154,81397.2,13,0.123,173,
Yamada,Saburo,5,235,129,42,149,66,0.472,252,1675.3,164,0.233,41,
Zimmern,Elsie M.,5,236,21,615,29,474,0.486,119,745.9,244,0.051,558,
Baralt,Luis A.,4,237,30,406,54,240,0.43,760,64,510,0.058,469,
Beresovski-Chestov,T.,4,238,110,56,123,79,0.491,87,2327.7,135,0.231,42,
Berthelot,Pierre,4,239,41,271,45,290,0.485,120,2431.1,129,0.103,226,
Bertie,A. M.,4,240,15,758,25,566,0.418,981,12.9,610,0.032,1358,
Bianu,J.,4,241,48,219,51,252,0.436,685,768.5,239,0.053,532,
Bidgrain,Suzanne,4,242,58,179,62,208,0.484,127,443.7,305,0.133,157,
Bovet,Pierre,4,243,37,341,39,383,0.477,181,1907.4,152,0.093,267,
Burrows,A. R.,4,244,19,640,20,671,0.455,479,559.2,273,0.07,380,
Butts,M.,4,245,34,366,34,407,0.475,200,1508.3,175,0.075,344,
Cadigan,Alexander,4,246,12,858,14,829,0.402,1721,142.7,446,0.025,1480,
Cantacuzene,Alex. G.,4,247,16,722,22,599,0.471,255,338,343,0.042,703,
Chao-Hsin-Chu,Chu,4,248,9,991,14,832,0.421,886,46.8,531,0.022,1546,
Charrere,,4,249,19,642,26,540,0.464,323,177.4,424,0.044,642,
Chaturvedi,S. N.,4,250,26,493,42,315,0.43,762,487.4,295,0.052,541,
Colban,,4,251,16,727,18,722,0.402,1725,370.8,327,0.024,1498,
Collijn,Isak,4,252,62,169,63,204,0.475,202,2245.2,140,0.096,258,
Dawson,W. E.,4,253,15,765,19,689,0.468,286,334.9,344,0.05,562,
Decoppet,,4,254,2,2214,3,2068,0.389,2092,0,1161,0.011,1928,
Dendramis,V.,4,255,25,507,26,541,0.431,755,358.4,332,0.041,857,
Denis,P.,4,256,22,549,31,437,0.43,764,194.6,414,0.039,1291,
Desclos,A. ,4,257,11,899,16,769,0.457,434,17.5,602,0.06,458,
Etienne,H. ,4,258,2,2226,7,1178,0.375,2196,0,1263,0.006,2324,
Faure-Fremiet,E.,4,259,37,343,49,265,0.474,212,1235.2,196,0.088,296,
Fleck,A.,4,260,15,768,26,545,0.447,558,41,549,0.042,711,
Gariel ,,4,261,82,89,91,115,0.488,103,1230.4,197,0.177,79,
Gavrilovitch,Bogdan,4,262,30,410,56,233,0.437,681,140.9,450,0.061,451,
Gilmore,M. G. M.,4,263,44,245,45,294,0.457,436,2025.5,148,0.09,287,
Gould,Frederick J.,4,264,23,534,25,568,0.481,151,2189.6,145,0.078,330,
Hankin,G. T.,4,265,18,675,30,459,0.427,812,35.7,563,0.041,943,
Hautecoeur,Louis,4,266,44,247,66,198,0.479,167,300.2,360,0.078,332,
Jonynas,Ignace,4,267,27,466,32,425,0.462,364,414.5,312,0.063,427,
Latham,Eleanor,4,268,17,708,24,576,0.462,366,287.2,366,0.037,1299,
Levinson,L. ,4,269,68,154,75,155,0.477,184,1059.8,213,0.129,166,
Lheritier,Michel,4,270,11,906,14,844,0.464,328,260.2,386,0.042,719,
Mann,C. R.,4,271,22,559,24,579,0.472,244,1025.7,217,0.056,503,
Marie,Charles,4,272,35,362,46,285,0.468,288,532.6,278,0.107,212,
Marinesco,G.,4,273,8,1074,11,942,0.403,1710,20.4,597,0.018,1658,
Marouzeau,Jules,4,274,23,536,26,552,0.46,387,271.5,375,0.064,423,
Massoulier,,4,275,21,598,27,519,0.459,397,14.2,608,0.049,577,
Matsuda,,4,276,8,1075,11,943,0.431,757,1.8,670,0.029,1421,
Meline,Jules,4,277,9,1014,14,845,0.399,1866,3.2,651,0.019,1622,
Micheli,F.,4,278,19,656,28,490,0.474,215,61.5,513,0.082,316,
Michels,Roberto,4,279,23,538,31,445,0.464,332,28.5,574,0.054,526,
Miller ,Francis P.,4,280,15,786,19,704,0.452,505,29.9,572,0.063,431,
Nisot,,4,281,20,632,27,523,0.432,754,297.7,361,0.035,1329,
Odhner,Theodore,4,282,25,513,42,318,0.472,246,159,440,0.079,328,
Otetelisanu,E.,4,283,15,790,21,653,0.444,609,384.3,326,0.038,1295,
Palecek,V.,4,284,16,747,22,613,0.422,878,85.5,488,0.033,1352,
Pasquier,Marcel du,4,285,11,919,11,953,0.417,1009,418.7,309,0.021,1573,
Pasteiner,Ivan,4,286,86,79,90,117,0.486,118,3870.8,97,0.107,213,
Paulucci di Calboli,,4,287,27,476,34,412,0.466,308,360.6,330,0.061,454,
Petresco-Comnene,,4,288,59,177,62,210,0.484,131,1385.6,179,0.136,152,
Picard,Emile,4,289,30,415,36,402,0.483,138,494.4,292,0.106,218,
Pilotti,Massimo,4,290,33,374,35,406,0.454,491,1564.4,170,0.078,333,
Racovitza,Emile  G.,4,291,24,527,31,449,0.45,529,203.3,411,0.073,367,
Riddell,W. A.,4,292,29,427,32,430,0.475,211,2932.2,114,0.064,424,
Righetti,G.,4,293,21,609,29,471,0.472,247,255.3,387,0.053,537,
Rohan,Charles Antoine de,4,294,10,970,11,957,0.463,357,422,308,0.06,465,
Rosset,,4,295,32,379,44,306,0.468,290,185.8,420,0.07,397,
Rosting,Helmer,4,296,23,540,27,529,0.437,683,856.8,232,0.043,687,
Sahm,,4,297,11,926,17,753,0.417,1010,5.5,639,0.022,1560,
Salandra,Antonio,4,298,48,223,57,230,0.482,148,764.1,241,0.107,214,
Salomon,A.,4,299,1,2760,1,2760,0.369,2344,0,2441,0.005,2473,
Scheel,Karl,4,300,37,345,44,307,0.484,132,358,333,0.104,225,
Schellberg,W.,4,301,30,416,56,235,0.43,767,65.1,509,0.058,477,
Sherman,S.,4,302,10,973,13,884,0.429,792,264.5,380,0.025,1490,
Slavik,V.,4,303,15,794,16,793,0.449,541,528.1,281,0.057,495,
Sotomayor,Fernando de,4,304,48,224,71,165,0.479,171,316.7,353,0.085,307,
Struve,Petr. Berngardovic,4,305,39,337,43,313,0.447,572,401,316,0.107,216,
Symons,F G H,4,306,21,611,28,494,0.43,768,241.9,398,0.038,1296,
Tanakadate,Aikitu,4,307,33,376,60,218,0.469,283,82.7,491,0.119,189,
Thamin,R.,4,308,23,541,40,376,0.469,284,129.6,455,0.072,370,
Trowbridge,Augustus,4,309,54,194,63,207,0.477,188,186.6,419,0.134,156,
Ulmansky,Sava,4,310,15,796,22,617,0.42,933,31.5,568,0.025,1491,
Vinck,Emile,4,311,12,886,14,856,0.405,1695,172.8,430,0.024,1515,
Vuyst,P. de,4,312,13,854,15,825,0.393,2002,77.2,495,0.02,1610,
Willcox,Walter M.,4,313,21,614,26,563,0.425,859,266,379,0.039,1292,
Wilson,J. V.,4,314,20,637,24,584,0.401,1776,93.4,481,0.03,1411,
Zaldumbide,Gonzalo,4,315,123,46,142,70,0.481,156,1770,160,0.256,34,
Zerega-Fombona,A.,4,316,56,188,77,148,0.484,135,57,520,0.138,151,
Albert,François,3,317,4,1914,5,1348,0.377,2157,4.5,644,0.009,2061,
Andreades,,3,318,17,692,20,667,0.42,922,90.5,484,0.027,1454,
Anezaki,Masaji,3,319,57,181,57,227,0.498,61,21280.7,28,0.101,232,
Appell,Paul,3,320,15,757,16,756,0.478,174,83.5,489,0.084,309,
Arocha,,3,321,51,200,54,238,0.472,234,2.2,660,0.121,175,
Baden-Powell,Robert SS,3,322,17,694,20,668,0.398,1917,30.8,569,0.026,1461,
Balfour,Arthur,3,323,26,486,27,501,0.475,199,472,302,0.057,482,
Beaupin,E.,3,324,25,505,26,536,0.462,359,495.6,290,0.08,323,
Bedwell,C. E. A.,3,325,3,2029,3,2039,0.378,2149,0,831,0.007,2239,
Benedetti,M. V.,3,326,4,1923,4,1940,0.4,1780,2862,116,0.01,1979,
